,FilmID,Tittel,Sjanger
0,0,Autumn in New York (2000),Drama|Romance
1,1,"Vie est belle, La (Life is Rosey) (1987)",Comedy|Drama
2,2,Defying Gravity (1997),Drama
3,3,Ruthless People (1986),Comedy
4,4,Portraits Chinois (1996),Drama
5,5,Defending Your Life (1991),Comedy|Romance
6,6,"Omega Code, The (1999)",Action
7,7,"Hard 8 (a.k.a. Sydney, a.k.a. Hard Eight) (1996)",Crime|Thriller
8,8,Mad City (1997),Action|Drama
9,9,National Lampoon's Senior Trip (1995),Comedy
10,10,"Misérables, Les (1995)",Drama|Musical
11,11,"Decline of Western Civilization Part II: The Metal Years, The (1988)",Documentary
12,12,"Slumber Party Massacre, The (1982)",Horror
13,13,Species II (1998),Horror|Sci-Fi
14,14,Westworld (1973),Action|Sci-Fi|Thriller|Western
15,15,Madagascar Skin (1995),Romance
16,16,"Dreamlife of Angels, The (La Vie rêvée des anges) (1998)",Drama
17,17,"Goodbye Girl, The (1977)",Comedy|Romance
18,18,Roman Holiday (1953),Comedy|Romance
19,19,Beverly Hills Cop III (1994),Action|Comedy
20,20,Maximum Overdrive (1986),Horror
21,21,"Blood Spattered Bride, The (La Novia Ensangrentada) (1972)",Horror
22,22,Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),Comedy|Drama
23,23,Eyes Without a Face (1959),Horror
24,24,Shaft's Big Score! (1972),Action|Crime
25,25,Indiana Jones and the Temple of Doom (1984),Action|Adventure
26,26,"Dark Crystal, The (1982)",Children's|Fantasy|Sci-Fi
27,27,"Invitation, The (Zaproszenie) (1986)",Drama
28,28,Tumbleweeds (1999),Drama
29,29,Gulliver's Travels (1939),Adventure|Animation|Children's
30,30,"Wrong Trousers, The (1993)",Animation|Comedy
31,31,'Til There Was You (1997),Drama|Romance
32,32,Schlafes Bruder (Brother of Sleep) (1995),Drama
33,33,Tarantella (1995),Drama
34,34,"Prince of Tides, The (1991)",Drama|Romance
35,35,Room at the Top (1959),Drama
36,36,"Piano, The (1993)",Drama|Romance
37,37,Faithful (1996),Comedy
38,38,Highlander (1986),Action|Adventure
39,39,Wend Kuuni (God's Gift) (1982),Drama
40,40,Curtis's Charm (1995),Comedy|Drama
41,41,"Battleship Potemkin, The (Bronenosets Potyomkin) (1925)",Drama|War
42,42,Crooklyn (1994),Comedy
43,43,"Sweet Hereafter, The (1997)",Drama
44,44,Bhaji on the Beach (1993),Comedy|Drama
45,45,"Great White Hype, The (1996)",Comedy
46,46,"Boy Called Hate, A (1995)",Drama
47,47,Working Girl (1988),Comedy|Drama
48,48,To Catch a Thief (1955),Comedy|Romance|Thriller
49,49,Smoke Signals (1998),Comedy|Drama
50,50,"Believers, The (1987)",Horror|Thriller
51,51,Get Bruce (1999),Documentary
52,52,Halloween 5: The Revenge of Michael Myers (1989),Horror
53,53,Wedding Bell Blues (1996),Comedy
54,54,"Killing, The (1956)",Crime|Film-Noir
55,55,Rudy (1993),Drama
56,56,Shopping (1994),Action|Thriller
57,57,Loaded (1994),Drama|Thriller
58,58,Quartier Mozart (1992),Comedy
59,59,Brassed Off (1996),Comedy|Drama|Romance
60,60,"Suburbans, The (1999)",Drama
61,61,"Brother from Another Planet, The (1984)",Drama|Sci-Fi
62,62,Song of the South (1946),Adventure|Animation|Children's|Musical
63,63,Foreign Student (1994),Drama
64,64,"Great Race, The (1965)",Comedy|Musical
65,65,"Minus Man, The (1999)",Drama|Mystery
66,66,"Nightmare on Elm Street, A (1984)",Horror
67,67,Rosetta (1999),Drama
68,68,"Corruptor, The (1999)",Action|Crime|Drama|Thriller
69,69,Zone 39 (1997),Sci-Fi
70,70,"General, The (1927)",Comedy
71,71,Being Human (1993),Drama
72,72,"Money Pit, The (1986)",Comedy
73,73,"Adventures of Milo and Otis, The (1986)",Children's
74,74,Nine 1/2 Weeks (1986),Drama
75,75,Bride of Chucky (1998),Horror|Thriller
76,76,Flatliners (1990),Thriller
77,77,New York Cop (1996),Action|Crime
78,78,Barenaked in America (1999),Documentary
79,79,"Last Detail, The (1973)",Comedy|Drama
80,80,Twin Dragons (Shuang long hui) (1992),Action|Comedy
81,81,"Man Who Knew Too Much, The (1956)",Thriller
82,82,Jackie Brown (1997),Crime|Drama
83,83,Stigmata (1999),Thriller
84,84,U2: Rattle and Hum (1988),Documentary|Musical
85,85,Sister Act (1992),Comedy|Crime
86,86,Kagemusha (1980),Drama|War
87,87,Splendor in the Grass (1961),Drama
88,88,Star Trek: Insurrection (1998),Action|Sci-Fi
89,89,Hangmen Also Die (1943),Drama|War
90,90,Six Ways to Sunday (1997),Comedy
91,91,Back Stage (2000),Documentary
92,92,Still Crazy (1998),Comedy|Romance
93,93,Boiling Point (1993),Action|Drama
94,94,Rocky II (1979),Action|Drama
95,95,Honigmond (1996),Comedy
96,96,"World Is Not Enough, The (1999)",Action|Thriller
97,97,Young Sherlock Holmes (1985),Action|Adventure|Mystery
98,98,"Joy Luck Club, The (1993)",Drama
99,99,All Over Me (1997),Drama
100,100,Come See the Paradise (1990),Drama|Romance
101,101,When We Were Kings (1996),Documentary
102,103,Schizopolis (1996),Comedy
103,104,Killer: A Journal of Murder (1995),Crime|Drama
104,105,Barcelona (1994),Comedy|Romance
105,106,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama
106,107,Perfect Blue (1997),Animation|Mystery
107,108,White Christmas (1954),Musical
108,109,Message to Love: The Isle of Wight Festival (1996),Documentary
109,110,My Bodyguard (1980),Drama
110,111,Destiny Turns on the Radio (1995),Comedy
111,112,Cold Fever (Á köldum klaka) (1994),Comedy|Drama
112,113,Steal This Movie! (2000),Drama
113,114,Dinosaur (2000),Animation|Children
114,115,"Air Up There, The (1994)",Comedy
115,116,"Old Man and the Sea, The (1958)",Adventure|Drama
116,117,Buck and the Preacher (1972),Western
117,118,Two if by Sea (1996),Comedy|Romance
118,119,For Love or Money (1993),Comedy
119,120,"Suddenly, Last Summer (1959)",Drama
120,121,Rising Sun (1993),Action|Drama|Mystery
121,123,On the Beach (1959),Drama
122,124,Time Code (2000),Drama
123,125,Mr. Smith Goes to Washington (1939),Drama
124,126,"Gate of Heavenly Peace, The (1995)",Documentary
125,127,Manhattan Murder Mystery (1993),Comedy|Mystery
126,128,Queen Margot (La Reine Margot) (1994),Drama|Romance
127,129,Frequency (2000),Drama|Thriller
128,130,Adrenalin: Fear the Rush (1996),Action|Sci-Fi
129,131,"Ciao, Professore! (Io speriamo che me la cavo ) (1993)",Drama
130,132,Hook (1991),Adventure|Fantasy
131,133,My Fair Lady (1964),Musical|Romance
132,134,Jude (1996),Drama
133,135,"Maltese Falcon, The (1941)",Film-Noir|Mystery
134,137,Bringing Out the Dead (1999),Drama|Horror
135,138,Two Thousand Maniacs! (1964),Horror
136,139,"Candidate, The (1972)",Drama
137,140,Ghost (1990),Comedy|Romance|Thriller
138,141,"Last Temptation of Christ, The (1988)",Drama
139,142,House Party 2 (1991),Comedy
140,143,"Forbidden Christ, The (Cristo proibito, Il) (1950)",Drama
141,144,Sleepover (1995),Comedy|Drama
142,145,2010 (1984),Mystery|Sci-Fi
143,146,Charm's Incidents (1996),Drama
144,147,"Leading Man, The (1996)",Romance
145,148,Go West (1925),Comedy
146,149,Thelma & Louise (1991),Action|Drama
147,150,Blade Runner (1982),Film-Noir|Sci-Fi
148,151,Sabotage (1936),Thriller
149,152,Clay Pigeons (1998),Crime
150,153,Running Free (2000),Drama
151,154,Cobb (1994),Drama
152,155,"Jewel of the Nile, The (1985)",Action|Adventure|Comedy|Romance
153,156,East Palace West Palace (Dong gong xi gong) (1997),Drama
154,157,Tales From the Crypt Presents: Demon Knight (1995),Horror
155,158,"Next Step, The (1995)",Drama
156,159,Little Odessa (1994),Drama
157,160,"Third Man, The (1949)",Mystery|Thriller
158,161,"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",Adventure|Comedy|Sci-Fi
159,162,"Rescuers, The (1977)",Animation|Children's
160,163,Cotton Mary (1999),Drama
161,164,Body Heat (1981),Crime|Thriller
162,165,Atlantic City (1980),Crime|Drama|Romance
163,166,Romancing the Stone (1984),Action|Adventure|Comedy|Romance
164,167,Happiness Is in the Field (1995),Comedy
165,168,Surviving Picasso (1996),Drama
166,169,Condition Red (1995),Action|Drama|Thriller
167,170,Halloween (1978),Horror
168,171,Ghostbusters II (1989),Comedy|Horror
169,172,Cube (1997),Sci-Fi|Thriller
170,173,My Favorite Martian (1999),Comedy|Sci-Fi
171,174,Tin Men (1987),Comedy|Drama
172,175,Volunteers (1985),Comedy
173,176,"Lion King, The (1994)",Animation|Children|Musical
174,177,Touch of Evil (1958),Crime|Film-Noir|Thriller
175,178,Kids (1995),Drama
176,179,Patton (1970),Drama|War
177,180,"Tigger Movie, The (2000)",Animation|Children
178,181,Little Big League (1994),Children's|Comedy
179,182,Nineteen Eighty-Four (1984),Drama|Sci-Fi
180,183,Under the Domin Tree (Etz Hadomim Tafus) (1994),Drama
181,184,With Byrd at the South Pole (1930),Documentary
182,185,"Fast, Cheap & Out of Control (1997)",Documentary
